"";"...1";"area_estabelecimentos";"area_lavouras";"area_producao";"despesas_terra";"qtde_estabelecimentos";"pessoal_ocupado";"salarios";"pessoal_homens";"pessoal_mulheres";"qtde_tratores";"qtde_maquinas";"uso_adubos";"uso_corretivos";"uso_assistencia_tecnica";"uso_agrotoxicos";"uso_conservacao";"uso_irrigacao";"uso_energia";"despesa_insumos";"intensidade_agrotoxico";"despesas_estabelecimentos";"despesas_outras";"despesas_lavouras";"receitas_lavouras";"receitas_estabelecimentos";"CR_sicor";"producao";"pib_agro_municipios"
"3712";4316006;10055,8;2421,2;8207;1916;940;2109;1652;1369;740;215;289;616;256;158;158;1018;24;905;3704;1,38461538;12894;437;4621;15192;913;3048247,31;24709;14296,96
"3713";4316105;32486;30706,1;33975;53283;777;2415;3645;1482;933;542;1323;727;223;639;639;1422;221;667;55734;1696,5;103607;11543;84686;114942;776;48071252,19;166864;82080,84
"3714";4316204;17034,7;14539,4;13770;29790;763;2342;1838;1429;913;618;1737;745;207;657;657;1775;25;699;48953;86,76086957;79768;4971;35830;50885;757;46913857,19;116241;74143,82
"3715";4316303;24941,4;10135,2;12936;14991;998;2642;1974;1636;1006;431;921;849;255;810;810;1808;209;925;22394;1015,75;48660;3700;20123;34608;973;20129068,39;83851;49749,54
"3716";4316402;359640,8;80891,5;149552;133303;1645;5385;31707;3895;1490;1221;2447;704;311;478;478;1011;164;1556;111798;73,928;292383;16110;202257;284867;1626;213883156,29;419189;223087,37
"3717";4316428;5394,6;4930,3;6899;10537;349;925;59;505;420;73;173;313;25;197;197;357;3;308;9920;2482;18141;3516;15927;21972;342;11798684,89;28218;18964,8
"3718";4316477;6505,4;4485,1;3945;10565;355;1026;1936;659;367;273;670;339;79;292;292;694;13;328;18122;579,8;35428;3053;11460;13387;352;37602700,04;51641;34153,43
"3719";4316501;5202,3;1417,2;3742;1694;418;1338;6872;864;474;219;319;351;98;147;147;207;6;404;33113;1,71428571;53445;3165;1294;2381;405;19398921,39;109051;53279,82
"3720";4316600;33201,6;27939,4;32462;41848;1338;3364;3356;2024;1340;1034;1911;1308;350;980;980;1083;42;1257;48639;300,32653061;85206;6195;53580;101684;1321;90628336,46;156430;96563,85
"3721";4316733;13075,4;11074;14270;18837;429;1300;2208;833;467;358;703;396;119;325;325;559;16;323;39261;800,33333333;54433;1831;25644;36300;401;23532139,32;71423;43488,53
