"";"Ano";"Município (Código)";"Município";"area_lavouras";"despesa_insumos";"despesa_lavouras";"CR_sicor";"pessoal_ocupado";"qtde_maquinas";"qtde_tratores";"receita_lavouras";"uso_adubos";"uso_agrotoxicos";"uso_assistencia_tecnica";"uso_corretivos";"producao";"pib_agro";"cluster"
"4528";"2017";"4215208";"Romelândia - SC";3993,3;22472;4977;28925818,28;2433;520;258;7610;731;756;444;97;72495;28935;2
"4531";"2017";"4215406";"Salto Veloso - SC";1772,1;21023;2891;6663992,97;693;401;147;3125;197;191;165;39;46558;20507;2
"4536";"2017";"4215653";"Santa Rosa do Sul - SC";2806,2;6418;11994;6897189,77;1153;320;238;28006;451;388;258;200;32298;35870;2
"4537";"2017";"4215679";"Santa Terezinha - SC";14689,2;28263;59587;28659214,15;6351;1979;1582;124879;1856;1830;1329;854;135452;98648;4
"4538";"2017";"4215687";"Santa Terezinha do Progresso - SC";1965,1;6352;2568;8883490,92;1272;138;73;6152;462;497;230;42;26021;18951;2
"4539";"2017";"4215695";"Santiago do Sul - SC";2090,6;4964;2335;7918100,58;526;143;77;4882;177;180;169;37;21533;10002;2
"4542";"2017";"4215802";"São Bento do Sul - SC";2720,2;4825;7045;5649731,62;1300;593;342;18708;360;253;224;121;33500;54384;2
"4543";"2017";"4215901";"São Bonifácio - SC";1123,6;5370;1716;2176158,21;1273;306;265;4144;383;292;274;101;22629;14137;2
"4544";"2017";"4216008";"São Carlos - SC";4085,7;36001;6608;32870693,05;2557;935;405;11806;664;676;597;102;114351;68481;3
"4549";"2017";"4216305";"São João Batista - SC";868,9;2263;1676;2320955,06;1143;106;104;13473;227;57;454;44;26622;18108;2
"4550";"2017";"4216354";"São João do Itaperiú - SC";2516,2;7562;14958;6570952,8;765;303;249;24697;194;164;142;71;32482;31056;2
"4551";"2017";"4216404";"São João do Sul - SC";5934,6;11216;22017;15207025,5;1653;487;367;44432;665;608;434;300;52578;66945;2
"4552";"2017";"4216503";"São Joaquim - SC";9248,1;72468;163570;138251049,28;10122;3082;2544;376079;1671;1403;1710;1221;283430;327271;4
"4554";"2017";"4216701";"São José do Cedro - SC";9744,6;49348;9171;122251142,16;3281;920;450;16276;1057;1068;611;252;142348;76123;3
"4558";"2017";"4217105";"São Martinho - SC";1028,9;6054;1502;5134798,21;1097;188;151;3921;308;352;196;84;22079;17668;2
"4561";"2017";"4217253";"São Pedro de Alcântara - SC";502,4;2208;1253;979333,43;775;75;74;10161;235;136;156;73;15620;8595;2
"4562";"2017";"4217303";"Saudades - SC";6602,6;35581;14491;32186747,54;2909;754;415;18085;983;993;647;211;95894;69301;3
"4563";"2017";"4217402";"Schroeder - SC";773,2;2392;2836;1994265,45;451;76;70;12407;135;118;21;63;8801;35075;2
"4564";"2017";"4217501";"Seara - SC";5398,7;47754;4194;45418375,88;3424;1184;470;9482;1025;879;773;178;151732;101481;3
"4566";"2017";"4217600";"Siderópolis - SC";1171,6;3380;3319;4181526,9;1250;262;229;7160;328;331;281;151;21197;16091;2
"4567";"2017";"4217709";"Sombrio - SC";4269,8;9035;20424;9070516,97;1841;562;347;41682;535;470;337;290;42614;115537;2
"4570";"2017";"4217907";"Tangará - SC";10175,4;29381;30416;54370960,11;2932;1755;785;45013;715;701;516;240;102966;85690;3
"4572";"2017";"4218004";"Tijucas - SC";2431,2;4857;6427;6568373,68;998;244;205;14973;181;242;118;77;22224;18624;2
"4573";"2017";"4218103";"Timbé do Sul - SC";3138,3;6680;13128;11282148,15;1140;376;277;23386;312;286;228;133;35079;39805;2
"4574";"2017";"4218202";"Timbó - SC";899,4;5294;2552;2092840,55;735;262;222;5553;242;188;191;60;14887;11015;2
"4576";"2017";"4218301";"Três Barras - SC";7352;17706;24937;18312734,47;958;506;320;34470;196;167;105;96;68509;37928;2
"4578";"2017";"4218400";"Treze de Maio - SC";2786;25350;22072;8836555,57;1435;616;325;19090;413;386;348;143;34538;28059;2
"4581";"2017";"4218707";"Tubarão - SC";6724,7;12659;21535;46754230,88;1920;598;336;39800;500;374;336;260;59917;52019;2
"4583";"2017";"4218806";"Turvo - SC";12291,5;22973;46285;201567760,84;1943;1557;874;67557;607;584;483;334;107862;77826;3
"4585";"2017";"4218905";"Urubici - SC";2716,5;15120;19909;36935608,22;2522;860;599;32224;527;407;335;299;53963;62148;2
"4586";"2017";"4218954";"Urupema - SC";888,4;6229;14344;15045345,48;1505;282;217;28504;191;131;149;123;38074;36254;2
"4587";"2017";"4219002";"Urussanga - SC";1361,5;9652;4794;6380464,81;1682;372;268;15110;432;393;107;160;64431;33386;2
"4588";"2017";"4219101";"Vargeão - SC";6827,5;17784;14082;18988410,45;943;563;222;20270;294;298;229;153;62896;43267;2
"4590";"2017";"4219176";"Vargem Bonita - SC";2911,1;7663;3137;27839033,82;899;391;196;7285;292;258;155;69;28618;29546;2
