Município (Código);Município;Arrendamento de terras;Adubos e corretivos;Sementes e mudas;Agrotóxicos;Novas culturas permanentes e silvicultura;Formação de pastagens;Soma
1716505;Pedro Afonso (TO);1406;17897;6480;14079;-;158;40020
1716604;Peixe (TO);2748;20783;6567;12281;-;3629;46008
1716653;Pequizeiro (TO);X;1686;770;2060;-;2107;6623
1716703;Colméia (TO);379;330;178;1437;-;1317;3641
1717008;Pindorama do Tocantins (TO);X;68;20;X;-;3;91
1717206;Piraquê (TO);X;6643;1851;2611;X;1292;12397
1717503;Pium (TO);6869;14744;8670;14080;X;865;45228
1717800;Ponte Alta do Bom Jesus (TO);22;259;291;21;-;657;1250
1717909;Ponte Alta do Tocantins (TO);X;747;205;132;X;803;1887
1718006;Porto Alegre do Tocantins (TO);93;284;98;60;-;167;702
1718204;Porto Nacional (TO);7371;25334;11595;22173;-;1120;67593
1718303;Praia Norte (TO);X;79;9;216;X;221;525
1718402;Presidente Kennedy (TO);X;109;49;279;-;81;518
1718451;Pugmil (TO);X;1201;932;2148;-;X;4281
1718501;Recursolândia (TO);0;873;935;257;-;943;3008
1718550;Riachinho (TO);X;217;445;445;-;764;1871
1718659;Rio da Conceição (TO);-;9064;319;3602;X;11;12996
1718709;Rio dos Bois (TO);580;3133;707;3451;-;78;7949
1718758;Rio Sono (TO);X;5331;702;868;X;1151;8052
1718808;Sampaio (TO);-;51;120;174;X;102;447
1718840;Sandolândia (TO);828;628;190;761;-;459;2866
1718865;Santa Fé do Araguaia (TO);X;3355;2164;4256;-;181;9956
1718881;Santa Maria do Tocantins (TO);X;1247;1024;890;-;X;3161
1718899;Santa Rita do Tocantins (TO);853;948;1094;1359;-;68;4322
1718907;Santa Rosa do Tocantins (TO);2833;9613;4267;12692;-;1009;30414
1719004;Santa Tereza do Tocantins (TO);5;58;20;57;-;75;215
1720002;Santa Terezinha do Tocantins (TO);X;253;241;96;-;341;931
1720101;São Bento do Tocantins (TO);95;3375;1564;1050;-;1444;7528
1720150;São Félix do Tocantins (TO);-;24;24;1;-;25;74
1720200;São Miguel do Tocantins (TO);X;863;132;121;-;391;1507
1720259;São Salvador do Tocantins (TO);X;86;37;25;-;152;300
1720309;São Sebastião do Tocantins (TO);X;217;269;129;-;189;804
