Código (Município);Município;Produção de lavouras temporárias;Produção de lavouras permanentes;Soma
2107001;Montes Altos (MA);2100;352;2452
2107100;Morros (MA);7403;X;7403
2107209;Nina Rodrigues (MA);2620;X;2620
2107258;Nova Colinas (MA);15973;X;15973
2107308;Nova Iorque (MA);2085;X;2085
2107357;Nova Olinda do Maranhão (MA);3611;392;4003
2107407;Olho d'Água das Cunhãs (MA);865;X;865
2107456;Olinda Nova do Maranhão (MA);4880;49;4929
2107506;Paço do Lumiar (MA);703;3676;4379
2107605;Palmeirândia (MA);10378;547;10925
2107704;Paraibano (MA);4622;X;4622
2107803;Parnarama (MA);19448;41;19489
2107902;Passagem Franca (MA);5637;360;5997
2108009;Pastos Bons (MA);13872;107;13979
2108058;Paulino Neves (MA);4746;414;5160
2108108;Paulo Ramos (MA);618;X;618
2108207;Pedreiras (MA);1727;1425;3152
2108256;Pedro do Rosário (MA);10360;95;10455
2108306;Penalva (MA);7995;1327;9322
2108405;Peri Mirim (MA);3978;44;4022
2108454;Peritoró (MA);2384;51;2435
2108504;Pindaré-Mirim (MA);852;X;852
2108603;Pinheiro (MA);10433;172;10605
2108702;Pio XII (MA);1758;X;1758
2108801;Pirapemas (MA);2293;X;2293
2108900;Poção de Pedras (MA);5817;388;6205
2109007;Porto Franco (MA);4484;2597;7081
2109056;Porto Rico do Maranhão (MA);1338;-;1338
2109106;Presidente Dutra (MA);2876;X;2876
2109205;Presidente Juscelino (MA);4344;X;4344
2109239;Presidente Médici (MA);255;X;255
2109270;Presidente Sarney (MA);10423;730;11153
2109304;Presidente Vargas (MA);3378;X;3378
2109403;Primeira Cruz (MA);2860;186;3046
2109452;Raposa (MA);244;198;442
2109502;Riachão (MA);142345;131;142476
2109551;Ribamar Fiquene (MA);14110;3076;17186
2109601;Rosário (MA);3249;392;3641
2109700;Sambaíba (MA);121615;48;121663
2109759;Santa Filomena do Maranhão (MA);241;-;241
2109809;Santa Helena (MA);4673;306;4979
2109908;Santa Inês (MA);1887;87;1974
2110005;Santa Luzia (MA);29512;548;30060
2110039;Santa Luzia do Paruá (MA);4463;470;4933
2110104;Santa Quitéria do Maranhão (MA);12279;X;12279
2110203;Santa Rita (MA);10026;X;10026
2110237;Santana do Maranhão (MA);4027;94;4121
2110278;Santo Amaro do Maranhão (MA);1625;1215;2840
2110302;Santo Antônio dos Lopes (MA);8534;6772;15306
2110401;São Benedito do Rio Preto (MA);9881;151;10032
2110500;São Bento (MA);4392;216;4608
2110609;São Bernardo (MA);14657;55;14712
2110658;São Domingos do Azeitão (MA);101460;70;101530
2110708;São Domingos do Maranhão (MA);16969;X;16969
2110807;São Félix de Balsas (MA);7897;111;8008
2110856;São Francisco do Brejão (MA);2404;134;2538
2110906;São Francisco do Maranhão (MA);4918;X;4918
2111003;São João Batista (MA);6110;204;6314
2111029;São João do Carú (MA);1407;X;1407
2111052;São João do Paraíso (MA);1779;10250;12029
2111078;São João do Soter (MA);6705;X;6705
2111102;São João dos Patos (MA);7239;X;7239
2111201;São José de Ribamar (MA);2146;1973;4119
2111250;São José dos Basílios (MA);2723;864;3587
2111300;São Luís (MA);3509;779;4288
2111409;São Luís Gonzaga do Maranhão (MA);3554;1446;5000
2111508;São Mateus do Maranhão (MA);11571;X;11571
2111532;São Pedro da Água Branca (MA);1219;166;1385
2111573;São Pedro dos Crentes (MA);1532;-;1532
2111607;São Raimundo das Mangabeiras (MA);87568;350;87918
2111631;São Raimundo do Doca Bezerra (MA);2207;X;2207
2111672;São Roberto (MA);1113;158;1271
2111706;São Vicente Ferrer (MA);9474;99;9573
2111722;Satubinha (MA);1642;X;1642
2111748;Senador Alexandre Costa (MA);3572;-;3572
2111763;Senador La Rocque (MA);1454;428;1882
2111789;Serrano do Maranhão (MA);2149;X;2149
2111805;Sítio Novo (MA);4961;35;4996
2111904;Sucupira do Norte (MA);12722;41;12763
2111953;Sucupira do Riachão (MA);1169;-;1169
2112001;Tasso Fragoso (MA);473281;47;473328
2112100;Timbiras (MA);5954;X;5954
2112209;Timon (MA);13060;2599;15659
2112233;Trizidela do Vale (MA);446;X;446
2112274;Tufilândia (MA);490;-;490
2112308;Tuntum (MA);12762;278;13040
2112407;Turiaçu (MA);7825;188;8013
2112456;Turilândia (MA);3230;276;3506
2112506;Tutóia (MA);14578;806;15384
2112605;Urbano Santos (MA);18965;311;19276
2112704;Vargem Grande (MA);6647;X;6647
2112803;Viana (MA);11876;386;12262
2112852;Vila Nova dos Martírios (MA);14118;365;14483
2112902;Vitória do Mearim (MA);5743;286;6029
2113009;Vitorino Freire (MA);2707;X;2707
2114007;Zé Doca (MA);2222;247;2469
2200053;Acauã (PI);2483;137;2620
2200103;Agricolândia (PI);6292;477;6769
2200202;Água Branca (PI);3281;X;3281
2200251;Alagoinha do Piauí (PI);8043;463;8506
2200277;Alegrete do Piauí (PI);2585;X;2585
2200301;Alto Longá (PI);4364;439;4803
2200400;Altos (PI);8158;1339;9497
