;area_estabelecimentos;area_lavouras;area_producao;despesas_terra;qtde_estabelecimentos;pessoal_ocupado;salarios;pessoal_homens;pessoal_mulheres;qtde_tratores;qtde_maquinas;despesas_maquinas;uso_adubos;uso_corretivos;uso_assistencia_tecnica;uso_agrotoxicos;uso_conservacao;uso_irrigacao;uso_energia;despesa_insumos;intensidade_agrotoxico;despesas_estabelecimentos;despesas_outras;despesas_lavouras;receitas_lavouras;receitas_estabelecimentos;CR_sicor;producao;pib_agro_municipios
3511003;64262,1;36332;35424;87840;1199;2935;68644;1879;1056;326;512;36640;458;184;416;416;256;59;1178;51777;32,37708333;209656;865;185650;137836;1151;34442551,89;186281;66153,59
3511102;20043,5;18931,7;20158;201509;157;3598;200915;3339;259;391;551;67443;117;74;90;90;206;44;141;107337;62,74739583;532965;24524;527758;109800;139;52579129,89;111001;60808,64
3511201;9334;8960,5;9094;1560;48;181;713;122;59;70;95;1080;33;20;27;27;57;9;41;1625;10,01428571;5305;303;3271;45070;44;4816814,32;45766;24765,82
3511300;17305,7;11638,2;12074;8532;298;666;4892;564;102;256;343;2320;106;54;191;191;139;26;264;6595;2,78632479;19667;482;10707;71123;268;3638377,7;74046;44158,22
3511409;34512,3;21407,6;23456;46189;394;1499;13230;1135;364;405;674;31420;224;156;209;209;379;51;353;47542;11,46658416;149645;5802;85173;85975;378;25038425,73;141408;69419,14
3511508;6699,6;4399,8;5169;19121;180;1372;35184;1185;187;317;488;31176;93;68;96;96;218;13;155;19205;NA;94864;422;82513;21596;157;10595741,42;40166;63121,65
3511607;8305,2;5687,8;6047;9819;197;740;9759;582;158;169;244;NA;59;38;89;89;79;8;188;9058;6,50000000;28492;1265;13948;21780;196;8507355,64;43195;41393,35
3511706;10151,3;8084,6;8691;251899;107;742;22344;617;125;139;197;NA;61;44;60;60;164;15;96;68670;27176,00000000;284539;922;279070;32420;93;5419805,11;36624;28679,24
3511904;15499,2;11008,3;11829;249354;127;2570;19792;2479;91;373;524;378587;71;46;66;66;130;11;100;66605;618,50000000;661856;2184;655370;52708;119;14146709,4;46903;18183,62
3512001;34280,6;30534,1;34121;84116;199;2454;89933;2255;199;397;605;44244;168;147;148;148;389;33;148;55370;8,53333333;303095;60680;278964;146905;193;40346730,51;167402;97368,84
3512100;59650,5;50976,8;44585;94860;218;2918;90761;2486;432;535;796;25854;145;125;100;100;258;69;211;94853;5,24287258;262254;17340;257854;284417;180;87304693,94;343168;137480,25
3512209;11754,7;11297,6;13237;35725;345;1025;17029;854;171;497;910;NA;318;143;70;70;487;80;218;32779;3,61710037;69226;2206;50577;83552;343;21172357,06;91143;47049,87
3512308;19658;2939,7;3952;54780;509;1283;67280;1059;224;240;322;NA;104;45;289;289;116;6;455;30962;33,14253898;140723;1325;115957;46490;367;13193487,06;90599;46866,49
3512407;6718,4;6395,5;7162;56675;119;555;65912;386;169;131;169;29134;101;80;79;79;138;17;116;30883;70,36792453;180332;13519;168966;16302;114;121089995,98;69767;57316,34
3512506;21705,3;15939,5;17944;15882;332;1000;4022;823;177;268;495;5800;213;189;111;111;253;38;288;15682;10,16197183;33689;1365;24687;61389;313;20941935,57;78148;51372,26
3512605;20528,2;11574,8;15719;32455;284;1055;6696;825;230;269;472;9762;173;94;94;94;208;60;248;39484;12,95688456;67715;1109;42885;66320;273;26288321,22;98764;28044,1
3512704;17033;6037,9;7410;7477;354;1055;10772;819;236;279;398;6508;131;56;170;170;366;16;294;11412;4,60259740;41171;1655;14067;17039;320;5118917,11;70888;29438,08
3512803;7773,7;7131,6;7806;12319;177;922;19075;781;141;216;356;NA;108;34;43;43;307;19;147;6954;8,69161677;57432;7032;53785;39635;155;730452,24;45486;25496,59
3512902;28979,3;18221,7;19979;6249;598;1530;3620;1123;407;318;413;2102;247;103;267;267;378;43;536;7878;1,01023541;20127;630;9411;64021;552;13303189,95;80825;80360,63
3513009;897,2;661,4;1336;7163;183;980;7590;700;280;196;226;3336;160;128;41;41;311;156;177;7339;907,00000000;23534;2540;NA;NA;181;1754536,11;43511;18474,57
