Municipio;Qtde;Principal
2305357;1992;Feijao
2305407;5600;Mandioca
2306009;72250;Mandioca
2306108;7650;Café
2306207;5760;Mandioca
2306504;94050;Soja
2306553;7200;Mandioca
2306702;5500;Mandioca
2306801;12000;Mandioca
2307007;1035000;Cana-de-acucar
2307205;206800;Milho
2307254;95877;Soja
2307304;33250;Laranja
2307403;61689;Laranja
2307601;61500;Soja
2308302;138240;Laranja
2308351;175500;Soja
2308377;46080;Milho
2308401;30410;Milho
2308609;7200;Mandioca
2309003;12000;Café
2309409;13500;Mandioca
2309458;30600;Mandioca
2309508;223200;Soja
2309805;108000;Soja
2310100;1354260;Cana-de-acucar
2310209;127074;Milho
2310258;6840;Fumo
2310308;7550;Café
2310407;318420;Soja
2310506;2444;Feijao
2310803;67900;Soja
2310852;81600;Milho
2311009;2250;Feijao
2311108;75000;Mandioca
2311207;147500;Soja
2311231;15000;Mandioca
2311264;903000;Milho
2311306;837000;Cana-de-acucar
2311405;763000;Cana-de-acucar
2311900;641250;Cana-de-acucar
2311959;280416;Soja
2312106;31410;Mandioca
2312205;24800;Mandioca
2312403;25000;Mandioca
2312502;3841700;Cana-de-acucar
2312601;15400;Mandioca
2313005;54890;Feijao
2313203;222600;Milho
2313302;75150;Mandioca
2313500;154500;Milho
2313708;910000;Cana-de-acucar
2313757;5880;Mandioca
2313807;604800;Cana-de-acucar
2313906;1157000;Cana-de-acucar
2314102;1339200;Cana-de-acucar
2400208;17500;Mandioca
2400406;48750;Milho
2400703;199200;Laranja
2401107;56000;Mandioca
2401206;4680;Mandioca
2401305;639450;Milho
2401404;46500;Mandioca
2401503;18675;Mandioca
2401602;9450;Fumo
2401701;3848;Feijao
2401800;81500;Mandioca
2402402;74100;Milho
2402501;254520;Soja
2402600;118800;Soja
2402709;6120;Mandioca
2403004;71400;Laranja
2403400;748800;Soja
2403608;168000;Milho
2403756;11547;Mandioca
2404101;12000;Mandioca
2404200;4255;Fumo
2404408;15552;Mandioca
2404507;31500;Mandioca
2404705;116662;Milho
2404804;29778;Milho
2404853;17778;Café
2404903;4891750;Cana-de-acucar
2405009;45000;Mandioca
2405108;16360;Mandioca
2405207;64507;Milho
2405306;49300;Milho
2405405;67500;Mandioca
2405504;108000;Milho
2405603;20000;Mandioca
2405702;183600;Soja
2405801;341400;Soja
2406155;238461;Soja
2406304;181500;Milho
2406502;120000;Milho
2406601;12000;Mandioca
2406700;82200;Mandioca
2406908;11094;Mandioca
2407005;283968;Laranja
2407104;12500;Mandioca
2407302;140520;Soja
2407500;24000;Mandioca
2407609;113100;Soja
2407708;6000;Mandioca
2408003;8400;Mandioca
2408102;128000;Mandioca
2408201;70200;Soja
2408300;14000;Mandioca
2408607;90000;Mandioca
2408904;52500;Mandioca
2409100;45000;Milho
2409209;13000;Mandioca
2409308;30120;Milho
2409332;240000;Mandioca
2409506;43920;Mandioca
2409605;180000;Mandioca
2409803;13500;Mandioca
2410009;44000;Mandioca
2410306;67500;Mandioca
2410405;45800;Mandioca
2410504;4799;Mandioca
2410603;294000;Soja
2410702;1800;Feijao
2410801;17250;Mandioca
